username,repo_name,repo_url,stars
flutter,flutter,139000,https://github.com/flutter/flutter
justjavac,free-programming-books-zh_CN,90600,https://github.com/justjavac/free-programming-books-zh_CN
Genymobile,scrcpy,63700,https://github.com/Genymobile/scrcpy
Hack-with-Github,Awesome-Hacking,50400,https://github.com/Hack-with-Github/Awesome-Hacking
google,material-design-icons,45500,https://github.com/google/material-design-icons
wasabeef,awesome-android-ui,42400,https://github.com/wasabeef/awesome-android-ui
square,okhttp,41900,https://github.com/square/okhttp
android,architecture-samples,40500,https://github.com/android/architecture-samples
Solido,awesome-flutter,40100,https://github.com/Solido/awesome-flutter
square,retrofit,39800,https://github.com/square/retrofit
PhilJay,MPAndroidChart,34900,https://github.com/PhilJay/MPAndroidChart
fastlane,fastlane,34400,https://github.com/fastlane/fastlane
airbnb,lottie-android,32600,https://github.com/airbnb/lottie-android
bumptech,glide,32400,https://github.com/bumptech/glide
shadowsocks,shadowsocks-android,32400,https://github.com/shadowsocks/shadowsocks-android
Trinea,android-open-project,30900,https://github.com/Trinea/android-open-project
Blankj,AndroidUtilCode,30700,https://github.com/Blankj/AndroidUtilCode
xitu,gold-miner,30400,https://github.com/xitu/gold-miner
bilibili,ijkplayer,30200,https://github.com/bilibili/ijkplayer
skylot,jadx,29700,https://github.com/skylot/jadx
zxing,zxing,29400,https://github.com/zxing/zxing
laurent22,joplin,29100,https://github.com/laurent22/joplin
codepath,android_guides,27700,https://github.com/codepath/android_guides
square,leakcanary,27400,https://github.com/square/leakcanary
alibaba,fastjson,24200,https://github.com/alibaba/fastjson
scwang90,SmartRefreshLayout,23400,https://github.com/scwang90/SmartRefreshLayout
CymChad,BaseRecyclerViewAdapterHelper,22700,https://github.com/CymChad/BaseRecyclerViewAdapterHelper
react-native-elements,react-native-elements,22200,https://github.com/react-native-elements/react-native-elements
google,iosched,21300,https://github.com/google/iosched
NativeScript,NativeScript,21100,https://github.com/NativeScript/NativeScript
